,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
128,MLB The Show 17,2017,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16
129,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
130,The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
131,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11
132,EA Sports UFC,2014,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
133,Final Fantasy XII: The Zodiac Age,2017,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1
134,Alien: Isolation,2014,Adventure,Sega,0.29,0.59,0.05,0.16,1.09
135,MLB The Show 18,2018,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06
136,The Evil Within II,2017,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
137,Prey (2017),2017,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
138,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04
139,Ni-Oh,2017,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03
140,MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01
141,Steep,2016,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
142,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
143,Evolve,2015,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
144,Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98
145,EA Sports UFC 3,2018,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97
146,Madden NFL 25,2013,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96
147,MLB 16: The Show,2016,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96
148,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94
149,Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9
150,Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89
151,God of War III,2015,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89
152,Fortnite,2017,Action,Gearbox Software,0.42,0.32,0.0,0.15,0.89
153,LEGO Harry Potter Collection,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88
154,Minecraft: Story Mode,2015,Adventure,Mojang,0.31,0.42,0.0,0.14,0.87
155,BioShock The Collection,2016,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
156,Thief 4,2014,Action,Square Enix,0.28,0.41,0.03,0.13,0.85
157,Until Dawn: Rush of Blood,2016,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85
