,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
307,The Escapists 2,2017,Action,Sold Out,0.04,0.16,0.0,0.04,0.24
308,Transformers: Devastation,2015,Action,Activision,0.11,0.09,0.0,0.04,0.24
309,Darksiders II,2015,Action-Adventure,Nordic Games,0.1,0.1,0.0,0.04,0.24
311,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.11,0.09,0.0,0.04,0.24
312,Digimon World: Next Order,2017,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24
313,theHunter: Call of the Wild,2017,Shooter,Astragon,0.19,0.0,0.0,0.04,0.24
314,Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.08,0.0,0.04,0.23
315,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.09,0.0,0.04,0.23
316,Elex,2017,Role-Playing,THQ Nordic,0.03,0.16,0.0,0.04,0.23
317,RIGS: Mechanized Combat League,2016,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23
318,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.08,0.11,0.01,0.04,0.23
319,Dead Island Definitive Collection,2016,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23
320,Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23
321,Singstar Celebration,2017,Music,Sony Interactive Entertainment,0.04,0.15,0.0,0.03,0.23
322,Dead by Daylight,2017,Action,505 Games,0.11,0.06,0.02,0.04,0.22
323,Attack on Titan 2,2018,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22
324,The Wolf Among Us,2014,Adventure,Telltale Games,0.11,0.07,0.0,0.04,0.22
325,Micro Machines: World Series,2017,Racing,Codemasters,0.03,0.16,0.0,0.03,0.22
326,Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22
327,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.06,0.13,0.0,0.03,0.22
328,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0.0,0.04,0.22
329,EVE: Valkyrie,2016,Shooter,Sony Interactive Entertainment,0.11,0.06,0.0,0.04,0.21
330,Senran Kagura: Peach Beach Splash,2017,Action,PQube,0.09,0.02,0.08,0.02,0.21
331,Ys VIII: Lacrimosa of Dana,2017,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21
332,Bound By Flame,2014,Action,Focus Home Interactive,0.08,0.09,0.0,0.04,0.21
333,NBA Live 16,2015,Sports,EA Sports,0.13,0.05,0.0,0.04,0.21
334,7 Days to Die,2016,Action,Telltale Games,0.09,0.08,0.0,0.03,0.21
335,Dynasty Warriors 8: Empires,2014,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21
336,Dragon's Dogma,2017,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21
337,Godzilla (2015),2014,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2
338,Eagle Flight,2016,Adventure,Ubisoft,0.09,0.08,0.0,0.03,0.2
339,Agents of Mayhem,2017,Action,Deep Silver,0.08,0.08,0.0,0.03,0.2
340,MotoGP 14�,2014,Racing,Milestone S.r.l.,0.05,0.11,0.0,0.03,0.2
341,Elite: Dangerous,2017,Simulation,Frontier Developments,0.06,0.1,0.0,0.03,0.19
343,Toukiden Kiwami,2015,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
344,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.09,0.07,0.0,0.03,0.19
345,The Surge,2017,Action,Koch Media,0.07,0.08,0.01,0.03,0.19
346,MotoGP 15,2015,Racing,Milestone S.r.l.,0.0,0.13,0.04,0.02,0.18
347,Resident Evil: Revelations,2017,Action,Capcom,0.06,0.06,0.04,0.02,0.18
348,Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.08,0.0,0.09,0.02,0.18
349,Back to the Future: The Game,2015,Adventure,Telltale Games,0.1,0.05,0.0,0.03,0.18
350,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0.0,0.03,0.17
351,Resident Evil 6,2016,Shooter,Capcom,0.1,0.0,0.05,0.02,0.17
352,Final Fantasy XIV: Heavensward,2015,MMO,Square Enix,0.0,0.09,0.06,0.02,0.17
353,Final Fantasy XIV: Stormblood,2017,MMO,Square Enix,0.05,0.06,0.04,0.02,0.17
354,Guilty Gear Xrd: Sign,2014,Fighting,Arc System Works,0.11,0.0,0.04,0.02,0.17
355,Prototype: Biohazard Bundle,2016,Action,Activision,0.14,0.0,0.0,0.03,0.17
356,BlazBlue Central Fiction,2016,Fighting,PQube,0.1,0.0,0.05,0.02,0.17
357,MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.08,0.0,0.03,0.17
358,Ride 2,2016,Racing,Milestone S.r.l,0.07,0.06,0.01,0.03,0.16
359,Dead Rising 4,2017,Action-Adventure,Capcom,0.08,0.05,0.0,0.03,0.16
360,Putty Squad,2013,Platform,System 3,0.06,0.07,0.0,0.03,0.16
361,Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16
362,Battlezone,2016,Action,Sony Interactive Entertainment,0.09,0.04,0.0,0.03,0.16
363,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.07,0.04,0.03,0.02,0.16
364,Berserk and the Band of the Hawk,2016,Action,Tecmo Koei,0.07,0.02,0.05,0.02,0.16
365,BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.08,0.04,0.02,0.02,0.16
366,Pillars of Eternity,2017,Role-Playing,Paradox Interactive�,0.11,0.02,0.0,0.03,0.16
367,Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0.03,0.07,0.02,0.16
368,Gravity Rush Remastered,2015,Action-Adventure,Sony Computer Entertainment,0.02,0.06,0.05,0.02,0.16
369,Psycho-Pass: Mandatory Happiness,2016,Visual Novel,NIS America,0.1,0.02,0.0,0.03,0.15
370,Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.09,0.0,0.02,0.15
371,Warriors Orochi 3,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
372,Wasteland 2,2015,Role-Playing,Deep Silver,0.1,0.0,0.03,0.02,0.15
373,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.04,0.03,0.07,0.01,0.15
374,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.12,0.0,0.0,0.03,0.15
376,Toukiden 2,2016,Action,Tecmo Koei,0.04,0.0,0.1,0.01,0.15
377,Song of the Deep,2016,Action,Insomniac Games,0.12,0.0,0.0,0.03,0.15
379,Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Role-Playing,Tecmo Koei,0.07,0.0,0.06,0.02,0.14
380,Yonmegami Online: Cyber Dimension Neptune,2017,Role-Playing,Idea Factory International,0.06,0.0,0.07,0.01,0.14
381,Grand Kingdom,2015,Role-Playing,NIS America,0.08,0.0,0.04,0.02,0.14
382,Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.03,0.04,0.06,0.01,0.14
384,Shovel Knight,2015,Platform,Yacht Club Games,0.08,0.04,0.0,0.02,0.14
385,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.07,0.05,0.0,0.02,0.14
386,Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.06,0.0,0.07,0.01,0.14
387,We Happy Few,2018,Action-Adventure,Gearbox Software,0.08,0.04,0.0,0.02,0.14
388,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.11,0.0,0.0,0.03,0.14
390,MXGP 2,2016,Racing,Milestone S.r.l.,0.05,0.06,0.0,0.02,0.14
391,MotoGP 17,2017,Racing,Koch Media,0.04,0.07,0.0,0.02,0.14
392,Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.06,0.0,0.06,0.01,0.14
393,Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.04,0.02,0.07,0.01,0.13
394,The Golf Club,2014,Sports,Ravenscourt,0.09,0.02,0.0,0.02,0.13
395,Hatsune Miku: Project Diva X,2016,Music,Sega,0.08,0.0,0.04,0.02,0.13
396,NASCAR Heat 2,2017,Racing,505 Games,0.11,0.0,0.0,0.02,0.13
397,Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.05,0.06,0.0,0.02,0.13
398,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.05,0.0,0.02,0.13
399,Golf Club 2,2017,Sports,Maximum Games,0.05,0.06,0.0,0.02,0.13
400,Akiba's Trip 2,2014,Action,Acquire,0.09,0.0,0.02,0.02,0.13
401,Rugby 15,2015,Sports,Bigben Interactive,0.05,0.06,0.0,0.02,0.13
402,Utawarerumono: Futari no Hakuoro,2016,Visual Novel,Atlus,0.05,0.0,0.07,0.01,0.13
404,Utawarerumono: Itsuwari no Kamen,2015,Adventure,Deep Silver,0.05,0.0,0.07,0.01,0.13
405,The Inpatient,2018,Action,Sony Interactive Entertainment,0.06,0.05,0.0,0.02,0.13
406,Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.13
408,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.07,0.03,0.0,0.02,0.12
409,Job Simulator,2017,Simulation,Sony Interactive Entertainment,0.1,0.0,0.0,0.02,0.12
410,Portal Knights,2017,Role-Playing,505 Games,0.02,0.05,0.03,0.01,0.12
411,Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12
412,Danganronpa 1o2 Reload,2017,Adventure,NIS America,0.08,0.0,0.02,0.02,0.12
414,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.1,0.0,0.0,0.02,0.12
415,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0.0,0.02,0.12
417,Constructor HD,2017,Strategy,System 3,0.09,0.0,0.0,0.02,0.11
418,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.09,0.0,0.0,0.02,0.11
419,Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.07,0.02,0.0,0.02,0.11
420,Mighty No. 9,2016,Platform,Deep Silver,0.09,0.0,0.0,0.02,0.11
421,The Invisible Hours,2017,Adventure,GameTrust,0.09,0.0,0.0,0.02,0.11
422,Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0.01,0.0,0.02,0.11
424,The Witch and the Hundred Knight,2015,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11
426,Rime,2017,Adventure,Grey Box,0.02,0.07,0.0,0.02,0.11
431,Assassin's Creed Chronicles,2016,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
432,Mega Man Legacy Collection,2016,Platform,Capcom,0.09,0.0,0.0,0.02,0.11
433,Pac-Man Championship Edition 2 + Arcade Game Series,2017,Action,Namco Bandai Games,0.08,0.0,0.0,0.02,0.1
434,Tokyo Xanadu eX+,2016,Role-Playing,Nihon Falcom Corporation,0.05,0.0,0.05,0.01,0.1
435,Stardew Valley,2017,Simulation,505 Games,0.04,0.04,0.0,0.02,0.1
436,Romance of the Three Kingdoms 13,2015,Action,Tecmo Koei,0.03,0.0,0.06,0.01,0.1
437,Musou Stars,2017,Action,Tecmo Koei,0.03,0.0,0.06,0.01,0.1
438,Mega Man Legacy Collection 2,2017,Action,Capcom,0.06,0.0,0.02,0.01,0.1
439,Final Fantasy XIV Online Complete Edition,2017,MMO,Square Enix,0.07,0.0,0.02,0.02,0.1
440,Devil May Cry 4,2015,Action,Capcom,0.01,0.0,0.09,0.0,0.1
441,Puyo Puyo Tetris,2014,Puzzle,Sega,0.05,0.03,0.0,0.02,0.1
442,Natural Doctrine,2014,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.1
443,Sudden Strike 4,2017,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.1
444,Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,Namco Bandai Games,0.0,0.03,0.06,0.01,0.1
445,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.08,0.0,0.0,0.02,0.1
446,Guilty Gear Xrd REV 2,2017,Fighting,PQube,0.04,0.01,0.03,0.01,0.1
448,Let's Sing 2016,2015,Music,Ravenscourt,0.08,0.0,0.0,0.02,0.1
449,Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.07,0.0,0.01,0.02,0.1
450,Nights of Azure 2,2017,Action,Tecmo Koei,0.04,0.0,0.04,0.01,0.09
451,The Technomancer,2016,Role-Playing,Focus Home Interactive,0.04,0.04,0.0,0.02,0.09
452,Nights of Azure,2015,Action,Tecmo Koei,0.04,0.04,0.0,0.02,0.09
454,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Strategy,Tecmo Koei,0.03,0.0,0.06,0.01,0.09
455,Grand Ages: Medieval,2015,Strategy,Kalypso Media,0.0,0.05,0.03,0.01,0.09
457,Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0.0,0.0,0.02,0.09
459,Paragon,2016,Action,Sony Interactive Entertainment,0.07,0.0,0.0,0.02,0.09
460,Summon Night 6: Lost Borders,2016,Role-Playing,Gaijinworks,0.03,0.0,0.05,0.01,0.09
461,Black Rose Valkyrie,2016,Role-Playing,Idea Factory International,0.04,0.0,0.04,0.01,0.09
462,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.07,0.0,0.0,0.02,0.09
463,ATV Drift & Tricks,2017,Racing,Funbox Media,0.07,0.0,0.0,0.02,0.09
467,Ghostbusters (2016),2016,Action,Activision,0.07,0.0,0.0,0.02,0.08
468,Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.05,0.02,0.0,0.02,0.08
469,Shantae: Half-Genie Hero,2016,Platform,Xseed Games,0.06,0.0,0.01,0.01,0.08
470,Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,PQube,0.05,0.02,0.0,0.01,0.08
471,The Sexy Brutale,2017,Adventure,Badland Studio,0.05,0.02,0.0,0.01,0.08
472,Legend of Kay,2015,Action,Nordic Games,0.03,0.03,0.0,0.01,0.08
473,Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.07,0.0,0.0,0.02,0.08
474,Loading Human,2016,Adventure,Maximum Games,0.05,0.02,0.0,0.01,0.08
475,Rapala Fishing Pro Series,2017,Simulation,GameMill,0.06,0.0,0.0,0.02,0.08
476,Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.01,0.08
477,Dead Rising,2016,Action,Capcom,0.04,0.0,0.02,0.01,0.08
478,Assetto Corsa,2016,Racing,505 Games,0.0,0.06,0.01,0.01,0.08
479,Akiba's Beat,2016,Action,PQube,0.05,0.0,0.01,0.01,0.08
480,WRC 6,2016,Racing,PQube,0.03,0.02,0.01,0.01,0.08
481,God Wars: Future Past,2017,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07
482,Resident Evil 5 HD,2016,Action,Capcom,0.05,0.0,0.01,0.01,0.07
483,The Witch and the Hundred Knights 2,2017,Role-Playing,Nippon Ichi Software,0.03,0.0,0.03,0.01,0.07
484,Samurai Warriors: Sanada Maru,2016,Action,Tecmo Koei,0.02,0.0,0.05,0.01,0.07
486,Has-Been Heroes,2017,Action,GameTrust,0.06,0.0,0.0,0.01,0.07
488,Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.06,0.0,0.0,0.01,0.07
489,Dead Rising 2,2016,Action,Capcom,0.04,0.0,0.02,0.01,0.07
491,Touhou Genso Rondo: Bullet Ballet,2016,Shooter,NIS America,0.06,0.0,0.0,0.01,0.07
492,The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.0,0.0,0.01,0.07
493,The Silver Case,2017,Visual Novel,NIS America,0.05,0.0,0.01,0.01,0.07
494,Hunting Simulator,2017,Shooter,Bigben Interactive,0.06,0.0,0.0,0.01,0.07
495,WRC 7,2017,Racing,Bigben Interactive,0.06,0.0,0.0,0.01,0.07
499,SG/ZH: School Girl/Zombie Hunter,2017,Action,Aksys Games,0.04,0.0,0.02,0.01,0.07
501,Terraria,2014,Action,505 Games,0.0,0.05,0.01,0.01,0.07
502,Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0.03,0.0,0.01,0.07
503,Batman: The Enemy Within,2017,Adventure,Telltale Games,0.05,0.0,0.0,0.01,0.07
504,Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.07
507,ZombiU,2016,Action,Ubisoft,0.0,0.04,0.01,0.01,0.07
509,Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06
511,Birthdays the Beginning,2017,Misc,NIS America,0.05,0.0,0.0,0.01,0.06
512,Rugby 18,2017,Sports,Koch Media,0.05,0.0,0.0,0.01,0.06
513,The Binding of Isaac,2017,Misc,Nicalis,0.05,0.0,0.0,0.01,0.06
514,Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
515,Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,Tecmo Koei,0.03,0.0,0.03,0.01,0.06
517,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06
519,Deformers,2017,Action,Ready at Dawn,0.05,0.0,0.0,0.01,0.06
522,Yomawari: Midnight Shadows,2017,Action,NIS America,0.02,0.0,0.04,0.0,0.06
523,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.05,0.0,0.0,0.01,0.06
524,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.06
525,Outcast: Second Contact,2017,Adventure,Maximum Games,0.05,0.0,0.0,0.01,0.06
526,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06
528,Extinction,2018,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06
530,Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.02,0.0,0.03,0.0,0.06
531,King's Quest: The Complete Collection,2016,Adventure,Activision,0.05,0.0,0.0,0.01,0.06
532,Sine Mora,2017,Action,THQ Nordic,0.03,0.01,0.0,0.01,0.06
533,Aven Colony,2017,Strategy,Sold Out,0.04,0.01,0.0,0.01,0.06
534,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.03,0.02,0.0,0.01,0.06
536,Black Mirror,2017,Adventure,THQ Nordic,0.04,0.0,0.0,0.01,0.05
537,Touhou Genso Wanderer,2017,Action,NIS America,0.04,0.0,0.0,0.01,0.05
538,Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.04,0.0,0.0,0.01,0.05
539,Starblood Arena VR,2017,Shooter,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.05
540,Hellblade,2018,Action-Adventure,505 Games,0.03,0.01,0.0,0.01,0.05
541,Bubsy: The Woolies Strike Back,2017,Platform,Accolade,0.04,0.0,0.0,0.01,0.05
542,Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.01,0.01,0.03,0.0,0.05
543,Nobunaga's Ambition: Creation,2014,Strategy,Tecmo Koei,0.04,0.0,0.0,0.01,0.05
547,Werewolves Within,2016,Misc,Ubisoft,0.04,0.0,0.0,0.01,0.05
548,Demon Gaze 2,2017,Role-Playing,NIS America,0.04,0.0,0.0,0.01,0.05
549,Real Farm,2017,Simulation,Soedesco,0.04,0.0,0.0,0.01,0.05
550,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0.02,0.0,0.01,0.05
551,Syberia III,2017,Adventure,Microids,0.04,0.0,0.0,0.01,0.05
555,Don't Starve,2018,Adventure,505 Games,0.04,0.0,0.0,0.01,0.05
556,Monster Jam: Crush It,2016,Racing,GameMill,0.04,0.0,0.0,0.01,0.05
557,Prison Architect,2016,Simulation,Introversion Software,0.02,0.02,0.0,0.01,0.05
558,Assault Suit Leynos,2016,Shooter,Rising Star Games,0.04,0.0,0.0,0.01,0.05
559,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.04,0.0,0.0,0.01,0.05
560,Overcooked,2016,Action,Sold Out,0.04,0.0,0.0,0.01,0.05
561,Ben 10 (2017),2017,Action,Outright Games,0.04,0.0,0.0,0.01,0.05
562,Dead Alliance,2017,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04
563,Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04
564,That's You,2017,Party,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.04
565,Raid: World War II,2017,Shooter,505 Games,0.04,0.0,0.0,0.01,0.04
567,Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.03,0.0,0.01,0.01,0.04
569,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.03,0.01,0.0,0.01,0.04
570,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.04,0.0,0.0,0.01,0.04
572,Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.01,0.0,0.03,0.0,0.04
573,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.04,0.0,0.0,0.01,0.04
574,Pure Farming 2018,2018,Simulation,Techland,0.02,0.01,0.0,0.01,0.04
575,Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04
576,Anima - Gate of Memories,2016,Action,Avanquest,0.01,0.02,0.0,0.01,0.04
577,Axiom Verge,2017,Action,Badland Studio,0.03,0.0,0.0,0.01,0.04
578,Unbox: Newbie's Adventure,2017,Action,Merge Games,0.03,0.0,0.0,0.01,0.04
580,Under Night In-Birth Exe:Latest,2017,Fighting,Arc System Works,0.01,0.0,0.03,0.0,0.04
581,Aragami,2016,Action,Maximum Games,0.03,0.0,0.0,0.01,0.04
582,Yonder: The Cloud Catcher Chronicles,2017,Action,CokeM Interactive,0.03,0.0,0.0,0.01,0.04
585,Dungeons 3,2017,Strategy,Kalypso Media,0.03,0.0,0.0,0.01,0.04
587,Danganronpa Another Episode: Ultra Despair Girls,2017,Shooter,NIS America,0.03,0.0,0.01,0.01,0.04
588,Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.03,0.01,0.0,0.01,0.04
589,Just Sing,2016,Music,Ubisoft,0.03,0.0,0.0,0.01,0.04
590,Wonder Boy: The Dragon's Trap (Remake),2018,Platform,Nicalis,0.03,0.0,0.0,0.01,0.04
591,Lumo,2016,Puzzle,Rising Star Games,0.03,0.0,0.0,0.01,0.04
592,ABZU,2017,Adventure,505 Games,0.03,0.0,0.0,0.01,0.04
593,Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.02,0.01,0.0,0.01,0.04
594,Darkest Dungeon,2018,Role-Playing,Merge Games,0.02,0.0,0.01,0.01,0.04
595,R.B.I. Baseball 2017,2017,Sports,MLB.com,0.03,0.0,0.0,0.01,0.04
596,Punch Line,2015,Adventure,5pb,0.03,0.0,0.0,0.01,0.04
597,VR Karts,2017,Racing,Perp Games,0.03,0.0,0.0,0.01,0.04
599,Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04
602,Raiden V,2017,Action,UFO Interactive,0.02,0.0,0.0,0.01,0.03
604,The Dwarves,2016,Role-Playing,THQ Nordic,0.03,0.0,0.0,0.01,0.03
608,Coven and Labyrinth of Refrain,2017,Action,Nippon Ichi Software,0.01,0.0,0.01,0.0,0.03
609,Super Dungeon Bros,2016,Action,Wired Productions,0.02,0.0,0.0,0.01,0.03
611,Troll and I,2017,Action,Maximum Games,0.02,0.0,0.0,0.01,0.03
612,The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0.0,0.0,0.01,0.03
613,The Lost Child,2017,Action,Kadokawa Games,0.01,0.0,0.01,0.0,0.03
616,Road Rage,2017,Racing,Maximum Games,0.02,0.0,0.0,0.01,0.03
620,Tumblestone,2016,Puzzle,Nighthawk Interactive,0.02,0.0,0.0,0.01,0.03
621,Blackguards 2,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.01,0.03
622,Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.02,0.0,0.0,0.01,0.03
624,Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0.0,0.0,0.01,0.03
625,We Sing (2016),2016,Music,THQ Nordic,0.02,0.0,0.0,0.01,0.03
627,The Town of Light,2017,Adventure,Wired Productions,0.02,0.0,0.0,0.01,0.03
628,OlliOlli: Epic Combo Edition,2016,Platform,Badland Studio,0.02,0.0,0.0,0.01,0.03
